Country name,Agricultural land under irrigation (percent of total ag. land),Cereal yield (kg per hectare),Foreign direct investment net inflows (percent of GDP),Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $),Energy use per capita (kilograms of oil equivalent),CO2 emissions total (KtCO2),CO2 emissions per capita (metric tons),CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $),GHG net emissions/removals by LUCF (MtCO2e),Population in urban agglomerations >1million (percent),Nationally terrestrial protected areas (percent of total land area),Invest. in energy w/ private participation ($),Invest. in telecoms w/ private participation ($),Invest. in transport w/ private participation ($),Invest. in water/sanit. w/ private participation ($),Public sector mgmt & institutions avg. (1-6 scale; 6=best),Paved roads (percent of total roads),GDP ($),GNI per capita (Atlas $),Ratio of girls to boys in primary & secondary school (percent),Primary completion rate total (percent of relevant age group),Under-five mortality rate (per 1000),Access to improved water source (percent of total pop.),Nurses and midwives (per 1000 people),Physicians (per 1000 people),Malaria incidence rate (per 100000 people),Access to improved sanitation (percent of total pop.),Child malnutrition underweight (percent of under age 5),Population living below $1.25 a day (percent of total),Population growth (annual percent),Population,Urban population growth (annual percent),Urban population
Israel,?,2442.9,5.380515597,118.6029960379,3052.8415061296,37663.757,5.1532066824,200.2022543596,?,57.2482897329,18.742814883,?,?,?,?,?,100,2.02101449275362E11,24700,101.369,99.14138,4.9,100,?,?,?,100,?,?,1.776579106,7308800,1.7984012555,6699246.08
Italy,?,5353,-0.4131749013,104.465985296,2942.6218958196,445118.795,7.4394548626,264.1079995319,-92.8278184478,17.1065606686,9.9092256923,?,?,?,?,?,?,2.29649739424616E12,35360,99.086,104.00944,4,100,?,4.242,?,?,?,?,0.7665496884,5.9832179E7,1.0018439146,4.07337474632E7
Jamaica,?,1253.4,10.1730256733,216.6685543922,1591.1126823459,12203.776,4.5414468592,618.428057765,?,?,18.8877744424,?,7500000,?,?,?,?,1.41214262766738E10,4880,100.082,?,25.1,94,?,?,?,83,?,?,0.4251358259,2687200,0.8010761182,1432277.6
Jordan,9.4650205761,943.6,12.4543185276,238.9084328397,1220.2685329186,21382.277,3.6948811128,723.39672161,?,18.5313115604,9.4116975935,1.04E8,9.03E7,?,?,?,100,2.26969022035919E10,3670,102.169,98.77776,23.1,96,?,?,?,98,?,?,2.1836835902,5787000,2.2347039995,4538165.4
Japan,35.0907519447,6262.6,0.5031251866,123.9472553597,3880.4510178378,1208162.823,9.4606468441,302.1868346896,-78.3182951223,48.9833164244,16.3046454256,?,?,?,?,?,?,4.87986145376794E12,38000,100.055,?,3.4,100,?,?,?,100,?,?,-0.0522243322,1.2770404E8,0.1887396398,8.4897645792E7
Kazakhstan,?,1012.2,10.7326052259,421.9923199647,4417.7612235397,236954.206,15.1176611661,1444.0655764588,?,8.5268220318,2.5209345333,0,1.0626E9,?,?,?,89.88,1.33441571813622E11,6140,98.914,104.25219,35.1,95,?,3.7,?,97,?,?,1.2183592296,1.5673999E7,1.7027892427,9081515.0206
Kenya,0.0330882353,1416.6,0.3182855046,321.6011013216,463.3170285654,10392.278,0.2702422322,187.5825711911,?,8.3988893321,11.6105308417,2.05E8,1.1998E9,?,?,3.3,?,3.00314274025555E10,740,95.881,?,89.3,59,?,?,30307,31,?,?,2.5552180739,3.8455418E7,3.9538422714,8306370.288
Kyrgyz Republic,9.3036263634,2380.2,7.3345379063,253.7631984037,518.3353227609,6208.231,1.1762691601,575.8701194746,?,?,6.9417454429,?,7.5E7,?,?,3,?,5.13995778491084E9,770,100.48,92.10039,40.3,90,?,?,0,93,?,?,0.8199652132,5277900,1.261954883,1914822.12
Cambodia,?,2804.7,7.8747457362,197.9193823427,375.6784157937,4602.085,0.3329381123,175.4024260363,?,10.6862840423,23.97928683,4.71E7,3.7E7,?,?,2.7,?,1.03518290656013E10,660,?,79.47861,58.5,61,0.79,0.227,1798,29,28.8,?,1.1114927155,1.3822644E7,4.0293467753,2980162.0464
Kiribati,?,?,2.0106445693,?,?,29.336,0.3038992251,134.5898135423,?,?,22.0366436111,?,?,?,?,3.1,?,1.32506609311134E8,1960,107.043,?,51.5,?,?,?,?,?,?,?,1.5545138821,96532,1.7371623347,42319.6288
